,Mismatch,avg_gap_dir_nosoc,avg_gap_nosoc,avg_workfunction,avg_c_12,avg_E_B,avg_emass_vb_dir1,avg_emass_cb_dir1,avg_alphax,avg_alphaz,avg_cbm_score,avg_cbm_s,avg_cbm_pd,avg_vbm_sd,avg_vbm_pd,avg_lattice_param,avg_PymatgenData maximum X,avg_PymatgenData range X,avg_PymatgenData minimum atomic_mass,avg_PymatgenData mean atomic_mass,avg_PymatgenData mean atomic_radius,avg_PymatgenData std_dev atomic_radius,avg_PymatgenData minimum thermal_conductivity,avg_PymatgenData maximum thermal_conductivity,avg_PymatgenData minimum melting_point,avg_cbm_spd_card,avg_cbmsite_vdw_radius,avg_cbmsite_atomic_vol,avg_cbm_character_p,min_cbm,min_vbm,max_vbm,wf_diff,band_alignment_1,band_alignment_3
band_alignment_3,0.11839799334976099,-0.6137420423613217,-0.6077198519731977,-0.17880058973036317,0.34882603293223496,-0.3989304398326531,-0.07847710152897559,-0.07695101525185781,0.29837998219146084,-0.052979519058580525,0.1779057377025952,-0.37163496752287367,0.2721392329665154,0.1106286649335217,0.22071086657252056,-0.14729450765645247,0.03709683857823383,-0.0021005378082763772,-0.0062601603188289345,0.09452571835869512,-0.08689320865445044,0.03993419835382019,0.12472483323418786,-0.2895966077197728,0.09297489570739223,0.4012812883519387,0.04091178635233958,-0.1710341921562449,-0.05799004921764809,-0.37550196199890795,0.1324243679485873,0.6651653808835072,0.6473358392939671,-0.4467119536196972,1.0
band_alignment_1,-0.000968607003719307,0.3766630329856172,0.37585477786543525,0.07225099830880388,-0.17516463133695448,0.2826704587688726,0.041139212505960004,0.058258872378926616,-0.11575152880502232,0.0635033828723863,0.06088912436377171,0.1323783862682594,-0.06322447331536832,-0.12152714763550913,-0.15143959637851875,0.09268591260653618,-0.013806645198636442,0.1458813778765758,0.004380695312639699,-0.08330966976658023,0.06622475883199058,0.05495962708526013,-0.005122113536652179,0.06333138726296413,-0.07606145353296022,-0.10890858314277027,0.04889621929134612,0.1920461505553084,-0.05432013810047943,0.19905987238611592,-0.11730203341008856,-0.3667567469598196,-0.36903726621607863,1.0,-0.4467119536196972
wf_diff,0.0753684573912181,-0.27749213275206674,-0.29403522757302314,-0.006636389042896341,0.2956710589206492,-0.1403099345944836,-0.09258412494241976,0.04908220659159481,0.19372277889513753,-0.037582481373881774,0.25519086691220366,-0.2100072763090135,0.12163486109762141,0.009005696470248752,0.1882341331020185,-0.3183448027084963,0.368162614675997,0.31776540836592143,-0.23271974040251725,-0.17309524383033478,-0.3395233758609333,0.2516720013590225,-0.10352128820709293,-0.21589712912979853,-0.24323419711750616,0.24431110467343162,-0.017324942078887733,-0.17273422168369468,-0.0774056781044897,-0.493043626072464,-0.18954957821869892,0.4237813926299548,1.0,-0.36903726621607863,0.6473358392939671
max_vbm,0.0026943966172826603,-0.6284352099172361,-0.6302292327986553,-0.6229022999100953,0.2065031311720118,-0.5289568155334304,0.009482277513699117,-0.047167675607159426,0.3278328641575405,0.059169147887038046,0.11589591423422285,-0.3568665987271443,0.3289568686672412,0.257549166677545,0.22269425446704433,-0.05261173004532297,-0.2997174436468161,-0.2117637522461318,0.23609974071257786,0.25683463157836744,0.2036304528754821,-0.31301787508804346,0.2866200991187433,-0.0967866304682382,0.38600828089081995,0.422314524952905,0.125314370367645,-0.11113138917282572,-0.18132858154196038,0.18400963036467674,0.4623195881550944,1.0,0.4237813926299548,-0.3667567469598196,0.6651653808835072
min_vbm,0.037429746166888156,-0.6560848982444242,-0.676583803728903,-0.6102039126753764,0.0912029511337953,-0.5895330080249924,0.06155759798218935,-0.19936670611724214,0.1734173267460578,0.14722965344117925,-0.10951204292022926,-0.22710244737405663,0.21337756080699735,0.23376332863680838,0.01791007432561479,0.12050806956768595,-0.6251306077294916,-0.5475002324002927,0.3414228097362865,0.32885184236462495,0.3906708507840331,-0.5528889376666261,0.3952645972599427,-0.012320340331512266,0.6025908223735013,0.2381319116140474,-0.029551051971197274,-0.17175989208036505,-0.022430816750878754,0.4409207285201085,1.0,0.4623195881550944,-0.18954957821869892,-0.11730203341008856,0.1324243679485873
min_cbm,-0.08248708407347387,0.21917915273979593,0.2182144373214873,-0.5656696283280573,-0.15763407898349316,0.05182427555830751,0.18300045963698125,0.10125766318214964,0.023770122401181426,0.044754506517000865,-0.07320132824060306,0.05781804607433369,0.041661408158753195,0.08446900388689142,-0.1706393925366973,0.14402761118931184,-0.4817982214382632,-0.20223961576073532,0.2571876556101807,0.10768643354905448,0.4127272525766373,-0.45617028295674117,0.2072532234889931,0.24723142926702393,0.3811257264506125,-0.009908822955739909,0.07575007618191903,0.1286986617813887,-0.15350257006088014,1.0,0.4409207285201085,0.18400963036467674,-0.493043626072464,0.19905987238611592,-0.37550196199890795
avg_cbm_character_p,0.03292816025092056,0.031456045225202255,0.01714935058734227,-0.05523479892070848,-0.1145292920503813,0.048929566575853345,-0.13405380763843963,-0.08694649823132454,-0.07479178013988487,-0.06868034204975078,-0.22344508266225824,-0.23180424120429013,-0.2244337991035868,-0.1782337925729445,-0.38182185063647156,0.16982377876779148,-0.06228945419653572,-0.26878627438552544,0.06215887310601462,0.11218058904485541,0.06430811611603264,0.030922555944542015,0.09742824208630074,0.16531119247900944,0.08204816460112185,-0.0387882567516307,-0.287136766386516,-0.12805874767968417,1.0,-0.15350257006088014,-0.022430816750878754,-0.18132858154196038,-0.0774056781044897,-0.05432013810047943,-0.05799004921764809
avg_cbmsite_atomic_vol,-0.07189523581120445,0.2936977576339581,0.3274143863724019,-0.06635057810177605,-0.34002273162326063,0.4267744109127742,-0.018638316620793897,0.22024962356909403,0.07558649633212217,0.058812920312962626,0.10306685888295773,-0.003182318417683981,-0.005250946854383952,-0.13131922982114425,-0.11191855675843224,0.5835817724752376,-0.04517710646696618,0.2431754679813938,0.32017954366800394,0.37515544078170193,0.5517995696389231,0.2971675769549474,-0.025859017239815214,-0.053972965319661365,0.002347170737741969,-0.0017343853541092434,0.6892662814008075,1.0,-0.12805874767968417,0.1286986617813887,-0.17175989208036505,-0.11113138917282572,-0.17273422168369468,0.1920461505553084,-0.1710341921562449
avg_cbmsite_vdw_radius,-0.019918583993642217,0.0046994204766659135,0.03405860463912187,-0.10212652158876272,-0.2443510162565735,0.1975089560988491,-0.007055469551389972,0.2234609392248406,0.16198423550806282,0.07250363167750729,0.3236791847088068,-0.2479537170464888,0.29273296452797726,0.037186428040583745,0.17369499308187775,0.3705093060515207,-0.07090335592038698,0.17750586808384694,0.3371745645376248,0.3016501527385359,0.35994613854948837,0.07457611932355315,0.0010157175301585713,-0.1572691623710314,0.10099024027488823,0.2843441135021507,1.0,0.6892662814008075,-0.287136766386516,0.07575007618191903,-0.029551051971197274,0.125314370367645,-0.017324942078887733,0.04889621929134612,0.04091178635233958
avg_cbm_spd_card,0.06418980005139231,-0.31843586389378964,-0.3431664275682164,-0.17258146245095166,0.20585963240641622,-0.24003272744896956,0.004061117809948787,0.14870289642484516,0.1406100869757178,0.0063805130245932,0.632867916109639,-0.9176358585730409,0.8284443268633543,0.2917934941704498,0.19405516839278075,-0.35331071041043305,-0.014554280497642794,-0.002159092593922858,-0.16350662764879376,-0.09242626436599599,-0.18682809341984133,0.1550987899966717,0.030969442644968672,-0.3022540489111856,0.09455733215172947,1.0,0.2843441135021507,-0.0017343853541092434,-0.0387882567516307,-0.009908822955739909,0.2381319116140474,0.422314524952905,0.24431110467343162,-0.10890858314277027,0.4012812883519387
avg_PymatgenData minimum melting_point,0.02799867289970607,-0.3947930035380939,-0.36693529560037386,-0.5037360640840358,-0.24697708642496877,-0.4992337408293639,0.04867993056211108,-0.15014814843626081,0.09339859759395039,-0.004108671305932348,-0.12692610696177895,-0.09713384038019378,0.12289877512055541,-0.11921680681031777,-0.00024375734527077062,0.38277221433996794,-0.8995059497173912,-0.7035356806960988,0.5453427288015427,0.446192249777441,0.6317601856450247,-0.6777850998185486,0.7005074611529603,0.06957717629626886,1.0,0.09455733215172947,0.10099024027488823,0.002347170737741969,0.08204816460112185,0.3811257264506125,0.6025908223735013,0.38600828089081995,-0.24323419711750616,-0.07606145353296022,0.09297489570739223
avg_PymatgenData maximum thermal_conductivity,-0.09036209242609718,0.23130553611680452,0.24267511857922763,-0.15574076597323305,-0.07522471783286223,0.1826890277754072,0.04941894041570299,0.1100589515072417,-0.14295301695984364,0.09286222061784069,-0.24752462692294688,0.2864784894817428,-0.23451444649064934,-0.03962373884714341,0.2169492801339429,0.15309913067487654,-0.06747267916370331,-0.038147509185919554,0.051029737232615044,-0.11986359754388667,0.13442973904990438,-0.22292208394574298,-0.0060605446804655886,1.0,0.06957717629626886,-0.3022540489111856,-0.1572691623710314,-0.053972965319661365,0.16531119247900944,0.24723142926702393,-0.012320340331512266,-0.0967866304682382,-0.21589712912979853,0.06333138726296413,-0.2895966077197728
avg_PymatgenData minimum thermal_conductivity,-0.0003505651496561832,-0.27624181914738904,-0.2638451401694885,-0.35509478627880253,-0.14332747884669678,-0.36939063400461314,0.03095758131535135,-0.15768590352078155,-0.07085807079576667,0.06604746250792573,-0.05353678266180409,-0.046753634152298496,0.05257069973611545,-0.09815153746710359,-0.028184362248251108,0.27046159507278755,-0.6473388456047086,-0.49575598861734627,0.5172354716202132,0.43921590444219966,0.4575868382869546,-0.4757576596952282,1.0,-0.0060605446804655886,0.7005074611529603,0.030969442644968672,0.0010157175301585713,-0.025859017239815214,0.09742824208630074,0.2072532234889931,0.3952645972599427,0.2866200991187433,-0.10352128820709293,-0.005122113536652179,0.12472483323418786
avg_PymatgenData std_dev atomic_radius,-0.04012276462545756,0.2671558791976504,0.24377973566533875,0.5234354420302652,0.2751593811051761,0.37523734616688315,-0.09572194476813319,0.08341185980261363,0.03352171461375392,0.012816845007667315,0.2414016526116148,-0.09718912736618551,0.02238104036086827,-0.08214330812208442,-0.012135717987314651,-0.23077549994339785,0.7040139725878612,0.6330137125187951,-0.5134324988324728,-0.2831577949842125,-0.4445283234462339,1.0,-0.4757576596952282,-0.22292208394574298,-0.6777850998185486,0.1550987899966717,0.07457611932355315,0.2971675769549474,0.030922555944542015,-0.45617028295674117,-0.5528889376666261,-0.31301787508804346,0.2516720013590225,0.05495962708526013,0.03993419835382019
avg_PymatgenData mean atomic_radius,-0.024049770384542105,-0.11490276336113373,-0.0706972778974475,-0.4718346231380069,-0.4737004329340686,-0.05215953852514957,0.036573648362107754,-0.010025217237442466,0.12248251190993041,0.02736597159290359,-0.29219694213234276,0.12415401710072672,-0.15237328958784668,-0.09644331400240669,-0.16639180123907965,0.8464619897695799,-0.6702452645593711,-0.36863577146037185,0.7881309565949071,0.771748648219851,1.0,-0.4445283234462339,0.4575868382869546,0.13442973904990438,0.6317601856450247,-0.18682809341984133,0.35994613854948837,0.5517995696389231,0.06430811611603264,0.4127272525766373,0.3906708507840331,0.2036304528754821,-0.3395233758609333,0.06622475883199058,-0.08689320865445044
avg_PymatgenData mean atomic_mass,0.033769594742568375,-0.2814397704928986,-0.24570997594287428,-0.2977186190461962,-0.30331475922992485,-0.18391728201593163,-0.03981610412336182,-0.09331693065340255,0.05250231990712675,0.042714157454573055,-0.2541386191255012,-0.0009571742655791567,-0.012241755139455891,0.06029935015631865,-0.0018630614404499773,0.6880637604542046,-0.41103636599420573,-0.38975054092895095,0.8237024361494194,1.0,0.771748648219851,-0.2831577949842125,0.43921590444219966,-0.11986359754388667,0.446192249777441,-0.09242626436599599,0.3016501527385359,0.37515544078170193,0.11218058904485541,0.10768643354905448,0.32885184236462495,0.25683463157836744,-0.17309524383033478,-0.08330966976658023,0.09452571835869512
avg_PymatgenData minimum atomic_mass,0.02198298001053326,-0.21250891525201557,-0.17019482105886585,-0.3755403511146135,-0.3664041617227522,-0.166311681874313,0.0223153339626567,-0.03746781934243247,0.026288372152989466,0.06646501162421004,-0.2460556822175253,0.06403188084556478,-0.062298847288779255,-0.013746224941894716,0.0049361271516643905,0.6804493634603002,-0.5401725350965733,-0.43124160686599217,1.0,0.8237024361494194,0.7881309565949071,-0.5134324988324728,0.5172354716202132,0.051029737232615044,0.5453427288015427,-0.16350662764879376,0.3371745645376248,0.32017954366800394,0.06215887310601462,0.2571876556101807,0.3414228097362865,0.23609974071257786,-0.23271974040251725,0.004380695312639699,-0.0062601603188289345
avg_PymatgenData range X,-0.059470819366494086,0.4289145770899089,0.3974778631336083,0.32854355705571364,0.15474129012461754,0.5057990348548953,-0.05886403186128751,0.23024117268319239,0.06617431062846205,-0.047901029299581954,0.19999464785352034,0.08233675480255484,-0.06966553845631115,-0.09942933830403371,-0.027363538122029737,-0.1795815536832969,0.7690240323633306,1.0,-0.43124160686599217,-0.38975054092895095,-0.36863577146037185,0.6330137125187951,-0.49575598861734627,-0.038147509185919554,-0.7035356806960988,-0.002159092593922858,0.17750586808384694,0.2431754679813938,-0.26878627438552544,-0.20223961576073532,-0.5475002324002927,-0.2117637522461318,0.31776540836592143,0.1458813778765758,-0.0021005378082763772
avg_PymatgenData maximum X,-0.018824254137185283,0.323786824632097,0.29680666805918954,0.5404199146523626,0.2193601005220603,0.40374388264691663,-0.11049999493851206,0.1798716232735331,-0.08962047008400541,-0.11234904621839947,0.13744715479919323,0.021344454043055495,-0.026080737070184948,0.08290373476771401,0.10834695279792791,-0.420354249819403,1.0,0.7690240323633306,-0.5401725350965733,-0.41103636599420573,-0.6702452645593711,0.7040139725878612,-0.6473388456047086,-0.06747267916370331,-0.8995059497173912,-0.014554280497642794,-0.07090335592038698,-0.04517710646696618,-0.06228945419653572,-0.4817982214382632,-0.6251306077294916,-0.2997174436468161,0.368162614675997,-0.013806645198636442,0.03709683857823383
avg_lattice_param,-0.019558512522146285,-0.022611361000440047,0.04572261507770019,-0.24606375467692224,-0.36101765248462514,0.16333035144568928,-0.1365706311962208,-0.01858013310570597,0.1930451451241359,0.033444277418787825,-0.43279884069362795,0.2432344519965261,-0.31658479453071037,-0.20088547903780363,-0.18994298241471594,1.0,-0.420354249819403,-0.1795815536832969,0.6804493634603002,0.6880637604542046,0.8464619897695799,-0.23077549994339785,0.27046159507278755,0.15309913067487654,0.38277221433996794,-0.35331071041043305,0.3705093060515207,0.5835817724752376,0.16982377876779148,0.14402761118931184,0.12050806956768595,-0.05261173004532297,-0.3183448027084963,0.09268591260653618,-0.14729450765645247
avg_vbm_pd,0.068226835602736,-0.2644967604786606,-0.2259212380831538,0.04158841550336401,0.1754607797015773,-0.2461283943737283,0.04734642150745221,0.08287129645283643,-0.023091793169223943,0.1291179192538534,0.20848672481118471,-0.0356053832552819,0.39151312844643366,0.2695220064808886,1.0,-0.18994298241471594,0.10834695279792791,-0.027363538122029737,0.0049361271516643905,-0.0018630614404499773,-0.16639180123907965,-0.012135717987314651,-0.028184362248251108,0.2169492801339429,-0.00024375734527077062,0.19405516839278075,0.17369499308187775,-0.11191855675843224,-0.38182185063647156,-0.1706393925366973,0.01791007432561479,0.22269425446704433,0.1882341331020185,-0.15143959637851875,0.22071086657252056
avg_vbm_sd,0.05518819117672284,-0.2604079927219978,-0.26368640990833775,-0.11606094621276013,0.09810761088558083,-0.06850041011195657,0.009396963579956856,-0.008369374849991661,0.002028969078553674,0.19745201987434238,0.029179733116131333,-0.2385094267514724,0.3684222039165418,1.0,0.2695220064808886,-0.20088547903780363,0.08290373476771401,-0.09942933830403371,-0.013746224941894716,0.06029935015631865,-0.09644331400240669,-0.08214330812208442,-0.09815153746710359,-0.03962373884714341,-0.11921680681031777,0.2917934941704498,0.037186428040583745,-0.13131922982114425,-0.1782337925729445,0.08446900388689142,0.23376332863680838,0.257549166677545,0.009005696470248752,-0.12152714763550913,0.1106286649335217
avg_cbm_pd,0.04924207212584614,-0.248634123187855,-0.26435347098422574,-0.13030196390940382,0.079463527935974,-0.24981779388873016,0.01854857796112073,0.18093553876963117,-0.022568055906917548,-0.0751274261281325,0.47959934211088623,-0.725878840995336,1.0,0.3684222039165418,0.39151312844643366,-0.31658479453071037,-0.026080737070184948,-0.06966553845631115,-0.062298847288779255,-0.012241755139455891,-0.15237328958784668,0.02238104036086827,0.05257069973611545,-0.23451444649064934,0.12289877512055541,0.8284443268633543,0.29273296452797726,-0.005250946854383952,-0.2244337991035868,0.041661408158753195,0.21337756080699735,0.3289568686672412,0.12163486109762141,-0.06322447331536832,0.2721392329665154
avg_cbm_s,-0.041549107285923814,0.2989100343721913,0.3256625265741977,0.17972421296376473,-0.11267133723034886,0.21615160817242768,0.06331527754711323,-0.12853707629317418,-0.1299117758162986,-0.0009634457750641282,-0.5534511554430812,1.0,-0.725878840995336,-0.2385094267514724,-0.0356053832552819,0.2432344519965261,0.021344454043055495,0.08233675480255484,0.06403188084556478,-0.0009571742655791567,0.12415401710072672,-0.09718912736618551,-0.046753634152298496,0.2864784894817428,-0.09713384038019378,-0.9176358585730409,-0.2479537170464888,-0.003182318417683981,-0.23180424120429013,0.05781804607433369,-0.22710244737405663,-0.3568665987271443,-0.2100072763090135,0.1323783862682594,-0.37163496752287367
avg_cbm_score,0.0905820015543567,0.07410180063133986,0.04666848204882546,-0.00605453667738272,0.11667192139729833,-0.027376926196568313,0.07094662223295732,0.19766908451909393,-0.12299250508582135,0.020987866148749163,1.0,-0.5534511554430812,0.47959934211088623,0.029179733116131333,0.20848672481118471,-0.43279884069362795,0.13744715479919323,0.19999464785352034,-0.2460556822175253,-0.2541386191255012,-0.29219694213234276,0.2414016526116148,-0.05353678266180409,-0.24752462692294688,-0.12692610696177895,0.632867916109639,0.3236791847088068,0.10306685888295773,-0.22344508266225824,-0.07320132824060306,-0.10951204292022926,0.11589591423422285,0.25519086691220366,0.06088912436377171,0.1779057377025952
avg_alphaz,-0.10217468026066616,-0.1355786476816652,-0.13386222402515688,-0.03450867406189265,0.07767326449671384,-0.06421002284011884,-0.003921019756539437,-0.3177910578915796,0.03792477269195355,1.0,0.020987866148749163,-0.0009634457750641282,-0.0751274261281325,0.19745201987434238,0.1291179192538534,0.033444277418787825,-0.11234904621839947,-0.047901029299581954,0.06646501162421004,0.042714157454573055,0.02736597159290359,0.012816845007667315,0.06604746250792573,0.09286222061784069,-0.004108671305932348,0.0063805130245932,0.07250363167750729,0.058812920312962626,-0.06868034204975078,0.044754506517000865,0.14722965344117925,0.059169147887038046,-0.037582481373881774,0.0635033828723863,-0.052979519058580525
avg_alphax,-0.009220110400747243,-0.3445165752826279,-0.3001593985439769,-0.29712472111396976,0.40819433694793644,-0.02210850566964238,0.020335985745856922,-0.14496103135146834,1.0,0.03792477269195355,-0.12299250508582135,-0.1299117758162986,-0.022568055906917548,0.002028969078553674,-0.023091793169223943,0.1930451451241359,-0.08962047008400541,0.06617431062846205,0.026288372152989466,0.05250231990712675,0.12248251190993041,0.03352171461375392,-0.07085807079576667,-0.14295301695984364,0.09339859759395039,0.1406100869757178,0.16198423550806282,0.07558649633212217,-0.07479178013988487,0.023770122401181426,0.1734173267460578,0.3278328641575405,0.19372277889513753,-0.11575152880502232,0.29837998219146084
avg_emass_cb_dir1,-0.00014725203299125462,0.2734650178173499,0.28686968663203516,0.07786526800514802,-0.15115922985877578,0.3026711672342665,0.027327251169591588,1.0,-0.14496103135146834,-0.3177910578915796,0.19766908451909393,-0.12853707629317418,0.18093553876963117,-0.008369374849991661,0.08287129645283643,-0.01858013310570597,0.1798716232735331,0.23024117268319239,-0.03746781934243247,-0.09331693065340255,-0.010025217237442466,0.08341185980261363,-0.15768590352078155,0.1100589515072417,-0.15014814843626081,0.14870289642484516,0.2234609392248406,0.22024962356909403,-0.08694649823132454,0.10125766318214964,-0.19936670611724214,-0.047167675607159426,0.04908220659159481,0.058258872378926616,-0.07695101525185781
avg_emass_vb_dir1,0.06464884413515243,0.10032826291224808,0.08810182994727984,-0.09404946594404459,-0.02779581827749691,0.05352902931769421,1.0,0.027327251169591588,0.020335985745856922,-0.003921019756539437,0.07094662223295732,0.06331527754711323,0.01854857796112073,0.009396963579956856,0.04734642150745221,-0.1365706311962208,-0.11049999493851206,-0.05886403186128751,0.0223153339626567,-0.03981610412336182,0.036573648362107754,-0.09572194476813319,0.03095758131535135,0.04941894041570299,0.04867993056211108,0.004061117809948787,-0.007055469551389972,-0.018638316620793897,-0.13405380763843963,0.18300045963698125,0.06155759798218935,0.009482277513699117,-0.09258412494241976,0.041139212505960004,-0.07847710152897559
avg_E_B,0.002562096881271048,0.7195836129545629,0.7444902788157685,0.2536029833194973,-0.056797750591240204,1.0,0.05352902931769421,0.3026711672342665,-0.02210850566964238,-0.06421002284011884,-0.027376926196568313,0.21615160817242768,-0.24981779388873016,-0.06850041011195657,-0.2461283943737283,0.16333035144568928,0.40374388264691663,0.5057990348548953,-0.166311681874313,-0.18391728201593163,-0.05215953852514957,0.37523734616688315,-0.36939063400461314,0.1826890277754072,-0.4992337408293639,-0.24003272744896956,0.1975089560988491,0.4267744109127742,0.048929566575853345,0.05182427555830751,-0.5895330080249924,-0.5289568155334304,-0.1403099345944836,0.2826704587688726,-0.3989304398326531
avg_c_12,0.06283593114762055,-0.3130129274200494,-0.3123946045813212,-0.018668595421076763,1.0,-0.056797750591240204,-0.02779581827749691,-0.15115922985877578,0.40819433694793644,0.07767326449671384,0.11667192139729833,-0.11267133723034886,0.079463527935974,0.09810761088558083,0.1754607797015773,-0.36101765248462514,0.2193601005220603,0.15474129012461754,-0.3664041617227522,-0.30331475922992485,-0.4737004329340686,0.2751593811051761,-0.14332747884669678,-0.07522471783286223,-0.24697708642496877,0.20585963240641622,-0.2443510162565735,-0.34002273162326063,-0.1145292920503813,-0.15763407898349316,0.0912029511337953,0.2065031311720118,0.2956710589206492,-0.17516463133695448,0.34882603293223496
avg_workfunction,-0.035449077561578314,0.29593292635850094,0.28290845225896405,1.0,-0.018668595421076763,0.2536029833194973,-0.09404946594404459,0.07786526800514802,-0.29712472111396976,-0.03450867406189265,-0.00605453667738272,0.17972421296376473,-0.13030196390940382,-0.11606094621276013,0.04158841550336401,-0.24606375467692224,0.5404199146523626,0.32854355705571364,-0.3755403511146135,-0.2977186190461962,-0.4718346231380069,0.5234354420302652,-0.35509478627880253,-0.15574076597323305,-0.5037360640840358,-0.17258146245095166,-0.10212652158876272,-0.06635057810177605,-0.05523479892070848,-0.5656696283280573,-0.6102039126753764,-0.6229022999100953,-0.006636389042896341,0.07225099830880388,-0.17880058973036317
avg_gap_nosoc,-0.0661606613061,0.9849607273596,1.0,0.28290845225896405,-0.3123946045813212,0.7444902788157685,0.08810182994727984,0.28686968663203516,-0.3001593985439769,-0.13386222402515688,0.04666848204882546,0.3256625265741977,-0.26435347098422574,-0.26368640990833775,-0.2259212380831538,0.04572261507770019,0.29680666805918954,0.3974778631336083,-0.17019482105886585,-0.24570997594287428,-0.0706972778974475,0.24377973566533875,-0.2638451401694885,0.24267511857922763,-0.36693529560037386,-0.3431664275682164,0.03405860463912187,0.3274143863724019,0.01714935058734227,0.2182144373214873,-0.676583803728903,-0.6302292327986553,-0.29403522757302314,0.37585477786543525,-0.6077198519731977
avg_gap_dir_nosoc,-0.0779601105080555,1.0,0.9849607273596,0.29593292635850094,-0.3130129274200494,0.7195836129545629,0.10032826291224808,0.2734650178173499,-0.3445165752826279,-0.1355786476816652,0.07410180063133986,0.2989100343721913,-0.248634123187855,-0.2604079927219978,-0.2644967604786606,-0.022611361000440047,0.323786824632097,0.4289145770899089,-0.21250891525201557,-0.2814397704928986,-0.11490276336113373,0.2671558791976504,-0.27624181914738904,0.23130553611680452,-0.3947930035380939,-0.31843586389378964,0.0046994204766659135,0.2936977576339581,0.031456045225202255,0.21917915273979593,-0.6560848982444242,-0.6284352099172361,-0.27749213275206674,0.3766630329856172,-0.6137420423613217
Mismatch,1.0,-0.0779601105080555,-0.0661606613061,-0.035449077561578314,0.06283593114762055,0.002562096881271048,0.06464884413515243,-0.00014725203299125462,-0.009220110400747243,-0.10217468026066616,0.0905820015543567,-0.041549107285923814,0.04924207212584614,0.05518819117672284,0.068226835602736,-0.019558512522146285,-0.018824254137185283,-0.059470819366494086,0.02198298001053326,0.033769594742568375,-0.024049770384542105,-0.04012276462545756,-0.0003505651496561832,-0.09036209242609718,0.02799867289970607,0.06418980005139231,-0.019918583993642217,-0.07189523581120445,0.03292816025092056,-0.08248708407347387,0.037429746166888156,0.0026943966172826603,0.0753684573912181,-0.000968607003719307,0.11839799334976099
